cpus=4
 inference_drive-203126 [002] 22650.245080: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245086: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245094: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245100: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245108: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245127: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245137: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245143: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245152: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245157: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245165: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245171: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245180: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245186: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245194: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245199: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245207: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245213: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245220: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245226: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245234: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245239: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245246: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
